[2026-02-12 21:20:04,055] INFO django.server "GET /api/users/ HTTP/1.1" 200 304
[2026-02-12 21:20:04,057] INFO django.server "GET /api/enroll-logs/ HTTP/1.1" 200 193
[2026-02-12 21:20:04,071] INFO django.server "GET /api/stats/ HTTP/1.1" 200 141
[2026-02-12 21:20:04,071] INFO django.server "GET /api/logs/ HTTP/1.1" 200 1169
[2026-02-12 21:20:04,088] INFO django.server "GET /api/roc/ HTTP/1.1" 200 17942
[2026-02-12 21:22:45,117] INFO django.server "GET /api/me/ HTTP/1.1" 200 120
[2026-02-12 21:22:45,176] INFO django.server "GET /api/enroll-logs/ HTTP/1.1" 200 193
[2026-02-12 21:22:45,183] INFO django.server "GET /api/users/ HTTP/1.1" 200 304
[2026-02-12 21:22:45,183] INFO django.server "GET /api/logs/ HTTP/1.1" 200 1169
[2026-02-12 21:22:45,186] INFO django.server "GET /api/stats/ HTTP/1.1" 200 141
[2026-02-12 21:22:45,382] INFO django.server "GET /api/roc/ HTTP/1.1" 200 47383
[2026-02-12 21:23:06,927] INFO django.server "GET /api/me/ HTTP/1.1" 200 120
[2026-02-12 21:23:06,938] INFO django.server "GET /api/my-logs/ HTTP/1.1" 200 52
[2026-02-12 21:23:07,591] INFO django.server "GET /api/enroll-logs/ HTTP/1.1" 200 193
[2026-02-12 21:23:07,600] INFO django.server "GET /api/stats/ HTTP/1.1" 200 141
[2026-02-12 21:23:07,606] INFO django.server "GET /api/users/ HTTP/1.1" 200 304
[2026-02-12 21:23:07,608] INFO django.server "GET /api/logs/ HTTP/1.1" 200 1169
[2026-02-12 21:23:07,625] INFO django.server "GET /api/roc/ HTTP/1.1" 200 47383
[2026-02-12 21:23:09,106] INFO django.server "GET /api/enroll-logs/ HTTP/1.1" 200 193
[2026-02-12 21:23:09,117] INFO django.server "GET /api/users/ HTTP/1.1" 200 304
[2026-02-12 21:23:09,119] INFO django.server "GET /api/logs/ HTTP/1.1" 200 1169
[2026-02-12 21:23:09,119] INFO django.server "GET /api/stats/ HTTP/1.1" 200 141
[2026-02-12 21:23:09,131] INFO django.server "GET /api/roc/ HTTP/1.1" 200 47383
[2026-02-12 21:23:10,047] INFO django.server "GET /api/me/ HTTP/1.1" 200 120
[2026-02-12 21:23:10,071] INFO django.server "GET /api/enroll-logs/ HTTP/1.1" 200 193
[2026-02-12 21:23:10,082] INFO django.server "GET /api/users/ HTTP/1.1" 200 304
[2026-02-12 21:23:10,084] INFO django.server "GET /api/stats/ HTTP/1.1" 200 141
[2026-02-12 21:23:10,087] INFO django.server "GET /api/logs/ HTTP/1.1" 200 1169
[2026-02-12 21:23:10,149] INFO django.server "GET /api/roc/ HTTP/1.1" 200 47383
[2026-02-12 21:23:10,841] INFO django.server "GET /api/me/ HTTP/1.1" 200 120
[2026-02-12 21:23:10,875] INFO django.server "GET /api/enroll-logs/ HTTP/1.1" 200 193
[2026-02-12 21:23:10,882] INFO django.server "GET /api/users/ HTTP/1.1" 200 304
[2026-02-12 21:23:10,885] INFO django.server "GET /api/stats/ HTTP/1.1" 200 141
[2026-02-12 21:23:10,887] INFO django.server "GET /api/logs/ HTTP/1.1" 200 1169
[2026-02-12 21:23:10,959] INFO django.server "GET /api/roc/ HTTP/1.1" 200 47383
[2026-02-12 21:23:40,616] INFO django.server "GET /api/me/ HTTP/1.1" 200 120
[2026-02-12 21:23:40,654] INFO django.server "GET /api/enroll-logs/ HTTP/1.1" 200 193
[2026-02-12 21:23:40,668] INFO django.server "GET /api/users/ HTTP/1.1" 200 304
[2026-02-12 21:23:40,670] INFO django.server "GET /api/stats/ HTTP/1.1" 200 141
[2026-02-12 21:23:40,671] INFO django.server "GET /api/logs/ HTTP/1.1" 200 1169
[2026-02-12 21:23:40,753] INFO django.server "GET /api/roc/ HTTP/1.1" 200 47383
[2026-02-12 21:23:48,274] WARNING django.request Unauthorized: /api/login/
[2026-02-12 21:23:48,275] WARNING django.server "POST /api/login/ HTTP/1.1" 401 36
[2026-02-12 21:24:01,085] INFO django.server "GET /admin/auth/user/ HTTP/1.1" 200 11391
[2026-02-12 21:24:01,146] INFO django.server "GET /admin/jsi18n/ HTTP/1.1" 200 8560
[2026-02-12 21:24:05,678] INFO api 用户登录: demo
[2026-02-12 21:24:05,679] INFO django.server "POST /api/login/ HTTP/1.1" 200 99
[2026-02-12 21:24:05,693] INFO django.server "GET /api/me/ HTTP/1.1" 200 119
[2026-02-12 21:24:22,762] INFO django.server "GET /api/me/ HTTP/1.1" 200 119
[2026-02-12 21:24:22,780] INFO django.server "GET /api/my-logs/ HTTP/1.1" 200 1169
[2026-02-12 21:25:37,521] INFO django.server "GET /api/me/ HTTP/1.1" 200 119
[2026-02-12 21:25:37,537] INFO django.server "GET /api/my-logs/ HTTP/1.1" 200 1169
[2026-02-12 21:25:57,908] INFO api 用户登录: admin
[2026-02-12 21:25:57,908] INFO django.server "POST /api/login/ HTTP/1.1" 200 99
[2026-02-12 21:25:57,920] INFO django.server "GET /api/me/ HTTP/1.1" 200 120
[2026-02-12 21:26:01,082] INFO django.server "GET /api/me/ HTTP/1.1" 200 120
[2026-02-12 21:26:01,092] INFO django.server "GET /api/my-logs/ HTTP/1.1" 200 52
[2026-02-12 21:26:02,768] INFO django.server "GET /api/enroll-logs/ HTTP/1.1" 200 193
[2026-02-12 21:26:02,775] INFO django.server "GET /api/logs/ HTTP/1.1" 200 1169
[2026-02-12 21:26:02,780] INFO django.server "GET /api/users/ HTTP/1.1" 200 304
[2026-02-12 21:26:02,780] INFO django.server "GET /api/stats/ HTTP/1.1" 200 141
[2026-02-12 21:26:02,790] INFO django.server "GET /api/roc/ HTTP/1.1" 200 47383
[2026-02-12 21:27:49,482] INFO django.server "GET /api/me/ HTTP/1.1" 200 120
[2026-02-12 21:27:49,522] INFO django.server "GET /api/enroll-logs/ HTTP/1.1" 200 193
[2026-02-12 21:27:49,530] INFO django.server "GET /api/users/ HTTP/1.1" 200 304
[2026-02-12 21:27:49,538] INFO django.server "GET /api/stats/ HTTP/1.1" 200 141
[2026-02-12 21:27:49,538] INFO django.server "GET /api/logs/ HTTP/1.1" 200 1169
[2026-02-12 21:27:49,732] INFO django.server "GET /api/roc/ HTTP/1.1" 200 47383
[2026-02-12 21:29:21,300] INFO api 用户登录: demo
[2026-02-12 21:29:21,300] INFO django.server "POST /api/login/ HTTP/1.1" 200 99
[2026-02-12 21:29:21,311] INFO django.server "GET /api/me/ HTTP/1.1" 200 119
[2026-02-12 21:44:12,162] WARNING django.request Unauthorized: /api/me/
[2026-02-12 21:44:12,164] WARNING django.server "GET /api/me/ HTTP/1.1" 401 34
[2026-02-12 21:44:30,382] INFO django.server "GET /admin/auth/user/ HTTP/1.1" 200 11394
[2026-02-12 21:44:30,449] INFO django.server "GET /admin/jsi18n/ HTTP/1.1" 200 8560
[2026-02-12 21:44:32,844] INFO django.server "GET /admin/auth/user/1/change/ HTTP/1.1" 200 21661
[2026-02-12 21:44:32,892] INFO django.server "GET /admin/jsi18n/ HTTP/1.1" 200 8560
